恒大绿洲馨园 3室2厅 165万,165,单价11445元/平米,3室2厅,144.17平米,南北,精装,中楼层(共20层),板楼,
私产合适的两室次顶楼，两个卧室都很大,184,单价22858元/平米,2室1厅,80.5平米,南北,精装,高楼层(共6层),板楼,
逸品轩 3室2厅 350万,350,单价32158元/平米,3室2厅,108.84平米,南,毛坯,高楼层(共33层),板楼,
金灿花园 3室2厅 159万,159,单价19905元/平米,3室2厅,79.88平米,南,精装,低楼层(共18层),板楼,
带车位，中间楼层，随时看房，价格可议，可贷款,101,单价8030元/平米,3室2厅,125.79平米,南北,毛坯,中楼层(共31层),塔楼,
：南北通透三居室，采光好无任何遮挡，小区楼间距大,168,单价13168元/平米,3室2厅,127.59平米,南北,精装,高楼层(共6层),板楼,
低楼层，采光充足，精装修，居住舒适,150,单价17330元/平米,2室1厅,86.56平米,南,精装,低楼层(共6层),板楼,
急售  安德公寓 小两室 采光视野优良,159,单价28789元/平米,2室1厅,55.23平米,北,简装,中楼层(共14层),板楼,
正阳里 南北通透户型 满五年 诚心出售 随时看房,220,单价28732元/平米,2室1厅,76.57平米,南北,精装,中楼层(共6层),板楼,
洋房 前后花园  为孩子老人提供更好的环境,470,单价33457元/平米,3室2厅,140.48平米,南北,精装,中楼层(共11层),板楼,
欧亚花园 4室2厅 520万,520,单价24179元/平米,4室2厅,215.07平米,南北,简装,中楼层(共11层),板楼,
配套较齐 采光较好 业主诚意出售 干净整洁,328,单价30120元/平米,3室1厅,108.9平米,东南南,精装,高楼层(共24层),板塔结合,
龙博花园 楼下两室 +大阁楼 =120平米 使用空间大,202,单价25822元/平米,2室1厅,78.23平米,南北,简装,高楼层(共6层),板楼,
紧凑小三居，老证，空户，无尾款,137,单价17342元/平米,3室1厅,79平米,南北,简装,低楼层(共6层),板塔结合,
小区配套较齐 房子户型好 采光充足 业主诚意出售,230,单价25323元/平米,2室1厅,90.83平米,南北,毛坯,低楼层(共18层),板塔结合,
天鹅湖1号  2室2厅 精装修 无遮挡 采光充足 老空无,128,单价14302元/平米,2室2厅,89.5平米,南,简装,高楼层(共20层),板楼,
晶品轩 2室1厅 315万,315,单价34495元/平米,2室1厅,91.32平米,南,精装,高楼层(共33层),板楼,
满五唯一    精装修H+1户型  多8平米卧室  带地下车位,261,单价26986元/平米,3室2厅,96.72平米,南,精装,高楼层(共18层),板楼,
恒大品牌 翡翠华庭 奢华社区 精装三室 酒店式风格,134,单价12578元/平米,3室2厅,106.54平米,南,精装,高楼层(共28层),板楼,
广厦富成 四室中高楼层 采光好  有钥匙 看房方便,143,单价14527元/平米,4室2厅,98.44平米,东南,毛坯,高楼层(共29层),板楼,
满五年唯一 鼓楼板块商品房 高楼层无遮挡,525,单价48374元/平米,2室2厅,108.53平米,南,简装,高楼层(共24层),板塔结合,
长华里 3室1厅 289万,289,单价27430元/平米,3室1厅,105.36平米,南,简装,高楼层(共6层),板楼,
南北通透两居室 精装未住，采光好,115,单价12599元/平米,2室1厅,91.28平米,南北,精装,中楼层(共26层),板楼,
和泓四季恋城 3室2厅 193万,193,单价21972元/平米,3室2厅,87.84平米,南北,精装,低楼层(共11层),板楼,
金冠里，交通便利，多路公交经过此小区，地铁三号线,200,单价24379元/平米,2室1厅,82.04平米,南北,毛坯,中楼层(共6层),板楼,
精装修 高铁站三室 南北通透 采光充足 小区环境优美,235,单价24029元/平米,3室2厅,97.8平米,南北,精装,中楼层(共18层),板楼,
通透户型，出行方便，居住方便舒适,127,单价13683元/平米,2室2厅,92.82平米,南北,简装,中楼层(共6层),板楼,
正阳楼 2室0厅 58万,58,单价10049元/平米,2室0厅,57.72平米,南北,简装,中楼层(共4层),暂无数据,
航楼 南北通透 全明户型 配套齐全 有钥匙 诚意出售,94,单价14345元/平米,2室1厅,65.53平米,南北,简装,高楼层(共4层),板楼,
一楼，满五年唯一，南北通透朝向好，交通便利.,188,单价25148元/平米,2室1厅,74.76平米,南北,简装,低楼层(共6层),板楼,
恒大绿洲馨园 3室2厅 165万,165,单价11445元/平米,3室2厅,144.17平米,南北,精装,中楼层(共20层),板楼,
私产合适的两室次顶楼，两个卧室都很大,184,单价22858元/平米,2室1厅,80.5平米,南北,精装,高楼层(共6层),板楼,
逸品轩 3室2厅 350万,350,单价32158元/平米,3室2厅,108.84平米,南,毛坯,高楼层(共33层),板楼,
